,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
144,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
4,PhD,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
511,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Store
369,Graduation,Widow,50s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Store
1674,Master,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1398,Graduation,Single,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1228,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1539,Master,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
155,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
98,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
909,Master,Single,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1443,Master,Widow,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1097,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1331,Basic,Single,20s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
1056,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1313,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
1356,Graduation,Married,50s,High,Children,Wine,Fruits,No Meat,No Sweets,Store
349,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
240,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
869,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1585,Master,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
762,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
238,Master,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
583,Graduation,Divorced,40s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
1346,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
958,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
461,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
114,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
912,Master,Together,30s,Low,No Children,No Wine,Fruits,Meat,Sweets,Web
1206,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1253,PhD,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1506,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1644,Graduation,Together,40s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Web
1617,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1982,2n Cycle,Single,30s,High,Children,No Wine,Fruits,Meat,Sweets,Store
1445,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1864,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
396,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1785,Master,Together,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
126,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1862,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1871,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1526,PhD,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1796,Graduation,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1268,2n Cycle,Divorced,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1590,2n Cycle,Single,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
91,2n Cycle,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1297,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
662,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
691,Master,Divorced,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
800,Master,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1424,Master,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
680,Basic,Together,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
372,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1332,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
219,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1256,2n Cycle,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
551,PhD,Divorced,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1726,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
981,Graduation,Divorced,50s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
106,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1239,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1084,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1001,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1379,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1997,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
40,Graduation,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1381,Master,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
343,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
68,Graduation,Married,50s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
1135,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1518,2n Cycle,Single,20s,Low,Children,Wine,Fruits,Meat,Sweets,Web
298,Master,Together,80s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
1905,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1468,Master,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
344,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1322,Graduation,Married,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
1545,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
881,PhD,Divorced,60s,Medium,No Children,Wine,No Fruits,Meat,Sweets,Web
1495,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1634,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
214,Graduation,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1199,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1185,PhD,Married,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1082,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
475,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1442,PhD,Married,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1324,Master,Married,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
327,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
467,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1251,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1100,Master,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1208,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1278,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1234,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
614,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
858,Graduation,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1810,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1483,Master,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
638,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
456,PhD,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1595,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1481,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1192,Master,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
591,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1959,2n Cycle,Married,40s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Store
2111,Master,Absurd,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
245,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1351,2n Cycle,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1777,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
980,Graduation,Single,20s,High,Children,Wine,Fruits,Meat,Sweets,Store
19,Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Store
1057,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2005,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1191,Master,Together,50s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
439,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
316,PhD,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2002,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2096,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1291,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1517,2n Cycle,Married,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1742,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1202,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
809,Graduation,Single,50s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
2152,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1991,PhD,Divorced,50s,High,Children,Wine,No Fruits,No Meat,Sweets,Store
251,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
416,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
610,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
423,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1961,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1661,PhD,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
558,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
12,Master,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
937,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
293,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
687,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1546,Graduation,Divorced,50s,High,Children,No Wine,Fruits,Meat,Sweets,Web
1289,2n Cycle,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1520,PhD,Widow,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2181,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1621,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1353,Graduation,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
991,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1215,Master,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1967,Graduation,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1340,Graduation,Married,40s,High,Children,No Wine,Fruits,Meat,Sweets,Store
50,Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
469,Graduation,Single,30s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
323,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
18,2n Cycle,Single,20s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
880,Basic,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1914,PhD,Married,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
273,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1368,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1712,Graduation,Married,60s,High,Children,Wine,No Fruits,Meat,Sweets,Store
174,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
530,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
30,Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
884,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1402,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
296,Graduation,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1124,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1355,Master,Divorced,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
1136,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1431,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
700,Graduation,Together,50s,Medium,No Children,Wine,No Fruits,Meat,Sweets,Store
465,PhD,Married,30s,High,Children,Wine,Fruits,No Meat,No Sweets,Store
1363,Graduation,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1491,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2066,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
914,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1594,2n Cycle,Married,30s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1791,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2051,Graduation,Together,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1724,Graduation,Together,20s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
578,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
953,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
973,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1615,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1378,Master,Married,50s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
2127,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1510,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1924,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
923,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
865,Master,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
120,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1474,PhD,Divorced,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1326,Graduation,Single,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1310,Graduation,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
2003,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2035,Graduation,Widow,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
932,PhD,Married,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
759,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
138,Master,Married,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
1677,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
371,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1292,Graduation,Together,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
1364,Graduation,Married,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1433,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
181,2n Cycle,Divorced,80s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
743,PhD,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1013,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
1475,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1449,Graduation,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
305,Graduation,Single,20s,High,Children,No Wine,Fruits,Meat,No Sweets,Store
1563,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
377,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
756,Master,Married,50s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
1863,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1574,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
699,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
780,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1432,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
210,Graduation,Married,40s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
887,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1614,PhD,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1843,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1465,2n Cycle,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
143,PhD,Together,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
2043,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1279,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
164,PhD,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1166,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
119,PhD,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
452,PhD,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1537,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
653,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
960,2n Cycle,Divorced,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1701,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Web
270,Graduation,Together,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1009,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
351,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1873,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
755,2n Cycle,Married,40s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
1683,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1985,Graduation,Married,40s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
2192,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1258,Master,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
892,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1921,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
779,Graduation,Single,60s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
845,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
564,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1458,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1646,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
875,Graduation,Together,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
124,PhD,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1800,Graduation,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1328,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1938,PhD,Widow,60s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1399,Basic,Together,40s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Web
629,PhD,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
748,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1891,Graduation,Married,50s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2117,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
955,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
789,Graduation,Married,60s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
326,PhD,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Web
180,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1885,Master,Married,20s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
2016,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
505,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
339,PhD,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1706,PhD,Widow,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1783,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
2059,Graduation,Married,30s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1093,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2091,Master,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1828,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
906,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
2021,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
129,Master,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1922,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1334,PhD,Married,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1444,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
189,Graduation,Divorced,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1134,Graduation,Together,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
813,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1500,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
191,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
2041,Graduation,Married,60s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1261,Master,Divorced,40s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
1145,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1918,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
399,PhD,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
2106,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
476,2n Cycle,Widow,50s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Web
793,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1725,PhD,Single,60s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Web
949,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
948,PhD,Single,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1039,PhD,Married,60s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1875,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1177,Master,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
993,Master,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
978,2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
404,Graduation,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1031,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
987,PhD,Widow,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1931,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
626,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1501,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
250,PhD,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
2046,Graduation,Widow,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
1571,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2110,Basic,Married,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
907,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1962,Master,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1060,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1516,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2075,Master,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1015,PhD,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
105,PhD,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1380,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1401,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
127,PhD,Alone,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
109,2n Cycle,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
506,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
853,Master,Single,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1282,Master,Together,50s,High,Children,No Wine,No Fruits,No Meat,Sweets,Store
657,PhD,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
263,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2120,Graduation,Married,50s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Store
535,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
